Employee ID,Department,JobRole,JobLevel,Working Years,MonthlyIncome,Exit Risk,Replacement Cost,Risk,Cost
237,Sales,Manager,5,33,"$19,068 ",HIGH,"$71,272 ",52.50%,71272
463,Research & Development,Laboratory Technician,1,1,"$2,340 ",HIGH,"$8,360 ",51.50%,8360
270,Research & Development,Manager,5,36,"$19,045 ",HIGH,"$71,180 ",51.50%,71180
911,Sales,Sales Representative,1,1,"$1,118 ",HIGH,"$3,472 ",51.40%,3472
595,Research & Development,Research Director,5,31,"$19,246 ",HIGH,"$71,984 ",51.20%,71984
127,Sales,Sales Representative,1,0,"$1,675 ",HIGH,"$5,700 ",51.20%,5700
656,Research & Development,Laboratory Technician,1,1,"$2,795 ",HIGH,"$10,180 ",51.20%,10180
688,Sales,Sales Representative,1,1,"$2,121 ",HIGH,"$7,484 ",51.20%,7484
385,Research & Development,Research Scientist,1,1,"$2,285 ",HIGH,"$8,140 ",51.20%,8140
1153,Sales,Sales Representative,1,0,"$1,569 ",HIGH,"$5,276 ",51.10%,5276
323,Research & Development,Research Scientist,1,3,"$3,464 ",HIGH,"$12,856 ",51.00%,12856
540,Research & Development,Research Scientist,1,7,"$2,216 ",HIGH,"$7,864 ",51.00%,7864
14,Research & Development,Laboratory Technician,1,4,"$2,028 ",HIGH,"$7,112 ",51.00%,7112
357,Sales,Sales Representative,1,3,"$2,174 ",HIGH,"$7,696 ",51.00%,7696
457,Sales,Sales Representative,1,0,"$1,878 ",HIGH,"$6,512 ",51.00%,6512
731,Research & Development,Research Scientist,1,1,"$2,600 ",HIGH,"$9,400 ",51.00%,9400
1396,Sales,Sales Executive,3,2,"$10,448 ",HIGH,"$38,792 ",51.00%,38792
842,Research & Development,Laboratory Technician,1,1,"$2,515 ",HIGH,"$9,060 ",51.00%,9060
214,Research & Development,Research Scientist,1,5,"$2,657 ",HIGH,"$9,628 ",51.00%,9628
711,Research & Development,Research Scientist,1,0,"$2,404 ",HIGH,"$8,616 ",51.00%,8616
1332,Research & Development,Research Scientist,1,1,"$2,439 ",HIGH,"$8,756 ",51.00%,8756
1060,Research & Development,Laboratory Technician,1,0,"$3,172 ",HIGH,"$11,688 ",51.00%,11688
2,Research & Development,Laboratory Technician,1,0,"$2,090 ",MEDIUM,"$7,360 ",50.90%,7360
1339,Research & Development,Research Scientist,1,1,"$2,472 ",MEDIUM,"$8,888 ",50.90%,8888
1273,Research & Development,Laboratory Technician,1,1,"$2,398 ",MEDIUM,"$8,592 ",50.90%,8592
26,Research & Development,Research Scientist,1,10,"$3,919 ",MEDIUM,"$14,676 ",50.90%,14676
102,Research & Development,Laboratory Technician,1,1,"$2,926 ",MEDIUM,"$10,704 ",50.90%,10704
414,Sales,Sales Representative,1,5,"$3,202 ",MEDIUM,"$11,808 ",50.90%,11808
1262,Research & Development,Research Scientist,1,1,"$2,437 ",MEDIUM,"$8,748 ",50.90%,8748
669,Research & Development,Laboratory Technician,1,2,"$2,404 ",MEDIUM,"$8,616 ",50.80%,8616
514,Research & Development,Research Scientist,1,10,"$3,348 ",MEDIUM,"$12,392 ",50.80%,12392
336,Research & Development,Laboratory Technician,1,7,"$2,119 ",MEDIUM,"$7,476 ",50.80%,7476
363,Sales,Sales Representative,1,1,"$2,851 ",MEDIUM,"$10,404 ",50.80%,10404
50,Research & Development,Laboratory Technician,3,1,"$5,381 ",MEDIUM,"$18,524 ",50.80%,18524
683,Sales,Sales Representative,1,1,"$2,413 ",MEDIUM,"$8,652 ",50.80%,8652
952,Sales,Sales Representative,1,3,"$2,302 ",MEDIUM,"$8,208 ",50.80%,8208
947,Sales,Sales Executive,3,8,"$8,446 ",MEDIUM,"$30,784 ",50.80%,30784
36,Sales,Sales Representative,1,3,"$2,683 ",MEDIUM,"$9,732 ",50.70%,9732
